Price,iPhone,iPad,Dropbox,iCloud,WebDAV,iTunes,Proprietary,Plain text,Copy HTML,Email,HTML Email,PDF,Print,Open in…,TextExpander,Markdown preview/export,Markdown editing,Appearance options,Syntax Highlighting,Extra Keyboard row,In-document text search,Search and replace,Full-text file search,Word count,Char count,Page count,Reading time,URL handlers,Web Browser
PlainText,Free/$$,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Pop for iOS,$0.99,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Readdle Docs,$4.99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,?,?
Schreibkraft,$3.99,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Scribe,$0.99,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Simplenote,Free/$$,Yes,Yes,$$,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,?,No,Yes,Yes,No,No,?,No
Split Pea,$1.99,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,?,Yes,No,No,No,No,?,Yes
Textastic,$9.99,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
TextCrafter,Free/2.99,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Textforce,$2.99,Yes,Yes,Yes,No,No,?,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No
